"STATION","NAME","DATE","AWND","TMAX","TMIN","WDF2","WSF2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-06",,"93","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-07",,"96","72",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-08",,"96","75",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-09",,"99","78",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-10",,"95","72",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-11",,"99","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-12",,"94","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-13",,"95","75",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-14",,"97","73",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-15",,"95","70",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-16",,"97","72",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-17",,"99","75",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-18",,"100","75",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-19",,"97","73",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-20",,"94","74",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-21",,"91","70",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-22",,"94","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-23",,"98","69",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-24",,"102","73",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-25",,"105","80",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-26",,"100","81",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-27",,"102","81",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-28",,"97","76",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-29",,"97","80",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-30",,"97","79",,
